longitude|latitude|start_date|end_date|source|horizon_lower|horizon_upper|aluminium_extractable|boron_extractable|calcium_extractable|carbon_organic|carbon_total|copper_extractable|electrical_conductivity|iron_extractable|magnesium_extractable|manganese_extractable|nitrogen_total|ph|phosphorus_extractable|potassium_extractable|sodium_extractable|sulphur_extractable|zinc_extractable
35.16279|-8.57954|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1323.132||231.247|19.43|16.3|1.41||55.25|132.073|31.252|1.19|5.522||78.222|||
35.62251|-8.57893|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1400.342||814.427|31.17|29.25|1.559||93.129|145.197|68.39|1.98|5.104||137.688|||
35.45573|-8.57831|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1823.4||447.665|47.96|48.73|1.666||78.299|128.903|9.59|3.62|4.668||93.925|||
35.17772|-8.57787|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1466.666||190.236|17.68|16.13|1.369||57.633|95.485|51.426|1.07|5.319||96.471|||
35.10974|-8.57748|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1118.944||399.792|9.51|10.08|1.041||105.017|130.727|137.457|0.63|5.602||144.383|||
35.62171|-8.57678|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1480.077||2392.545|51.5|52.02|2.482||104.163|323.339|146.454|4.24|6.225||599.11|||
35.12939|-8.5754|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|808.95||610.08|8.5|8.49|1.026||110.23|163.821|156.028|0.64|6.05||195.281|||
35.12936|-8.57539|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|859.79||497.778|9.53|9.34|0.692||84.227|109.242|128.763|0.62|5.931||198.338|||
35.13513|-8.57423|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1257.556||217.865|9.75|11.1|0.961||104.776|114.707|66.775|0.67|5.243||187.672|||
35.62601|-8.57395|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1775.998||370.79|33.7|31.12|1.279||93.911|127.177|106.762|1.98|5.018||65.573|||
35.11717|-8.57383|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1190.068||505.122|12.62|12.01|0.768||135.217|166.821|75.48|1.01|5.293||179.117|||
35.11278|-8.5738|01/01/2008|31/12/2018|afsis_spectral https://www.isda-africa.com/posts/2023-03-16-soil-data-release/|50|20|1006.504||249.879|8.15|8.71|1.017||90.99|99.48|113.581|0.64|5.588||186.615|||
